Action speed (MB/min),Command Line,Destination directory,Directories created,Directories processed,Elapsed time in sec.,Exit code,File name template,Files copied,Log File Appended,Source base directory,Total data in bytes,date,time,windows version,xxcopy version
593.8,xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\big_files R:\speed-test\big_files /oaX:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-big_files.log,"""R:\speed-test\big_files\""",1,53.28,"0 (No error, Successful operation)","""*""",1,X:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-big_files.log,"""X:\Software\Speed-test\source\big_files\""","527,331,269",2008-10-22,10:02:01, 5.2.3790 service pack 2,2.97.5
199.5,xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\little_files R:\speed-test\little_files /oaX:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-little_files.log,"""R:\speed-test\little_files\""","1,490","1,491",192.9 (3 min 12 sec),"0 (No error, Successful operation)","""*""","24,344",X:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-little_files.log,"""X:\Software\Speed-test\source\little_files\""","641,411,602",2008-10-22,09:08:57, 5.2.3790 service pack 2,2.97.5
231.1,xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\little_files R:\speed-test\little_files /oaX:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-little_files.log,"""R:\speed-test\little_files\""","1,490","1,491",166.5 (2 min 46 sec),"0 (No error, Successful operation)","""*""","24,344",X:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-little_files.log,"""X:\Software\Speed-test\source\little_files\""","641,411,602",2008-10-22,09:15:02, 5.2.3790 service pack 2,2.97.5
242.5,xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\little_files R:\speed-test\little_files /oaX:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-little_files.log,"""R:\speed-test\little_files\""","1,490","1,491",158.7 (2 min 38 sec),"0 (No error, Successful operation)","""*""","24,344",X:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-little_files.log,"""X:\Software\Speed-test\source\little_files\""","641,411,602",2008-10-22,09:20:37, 5.2.3790 service pack 2,2.97.5
241.2,xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\little_files R:\speed-test\little_files /oaX:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-little_files.log,"""R:\speed-test\little_files\""","1,490","1,491",159.6 (2 min 39 sec),"0 (No error, Successful operation)","""*""","24,344",X:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-little_files.log,"""X:\Software\Speed-test\source\little_files\""","641,411,602",2008-10-22,09:26:02, 5.2.3790 service pack 2,2.97.5
242.8,xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\little_files R:\speed-test\little_files /oaX:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-little_files.log,"""R:\speed-test\little_files\""","1,490","1,491",158.5 (2 min 38 sec),"0 (No error, Successful operation)","""*""","24,344",X:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-little_files.log,"""X:\Software\Speed-test\source\little_files\""","641,411,602",2008-10-22,09:31:24, 5.2.3790 service pack 2,2.97.5
245,xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\little_files R:\speed-test\little_files /oaX:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-little_files.log,"""R:\speed-test\little_files\""","1,490","1,491",157.1 (2 min 37 sec),"0 (No error, Successful operation)","""*""","24,344",X:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-little_files.log,"""X:\Software\Speed-test\source\little_files\""","641,411,602",2008-10-22,09:36:42, 5.2.3790 service pack 2,2.97.5
242.1,xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\little_files R:\speed-test\little_files /oaX:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-little_files.log,"""R:\speed-test\little_files\""","1,490","1,491",159 (2 min 38 sec),"0 (No error, Successful operation)","""*""","24,344",X:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-little_files.log,"""X:\Software\Speed-test\source\little_files\""","641,411,602",2008-10-22,09:42:01, 5.2.3790 service pack 2,2.97.5
245,xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\little_files R:\speed-test\little_files /oaX:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-little_files.log,"""R:\speed-test\little_files\""","1,490","1,491",157.1 (2 min 37 sec),"0 (No error, Successful operation)","""*""","24,344",X:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-little_files.log,"""X:\Software\Speed-test\source\little_files\""","641,411,602",2008-10-22,09:47:20, 5.2.3790 service pack 2,2.97.5
243.1,xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\little_files R:\speed-test\little_files /oaX:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-little_files.log,"""R:\speed-test\little_files\""","1,490","1,491",158.3 (2 min 38 sec),"0 (No error, Successful operation)","""*""","24,344",X:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-little_files.log,"""X:\Software\Speed-test\source\little_files\""","641,411,602",2008-10-22,09:52:41, 5.2.3790 service pack 2,2.97.5
